Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
2,Gaussian,3,True,8,20,True,False,False,False,False,8943,164,33,136,18,0.1952662721893491,0.6470588235294118,0.3,118.0
2,Gaussian,3,True,8,20,True,False,False,False,True,4330,452,30,431,21,0.0650759219088937,0.5882352941176471,0.1171875,410.0
2,Gaussian,3,True,8,20,True,False,False,True,False,4152,218,21,204,30,0.09333333333333334,0.4117647058823529,0.15217391304347824,174.0
2,Gaussian,3,True,8,20,True,False,False,True,True,2996,377,24,361,27,0.06233766233766234,0.47058823529411764,0.11009174311926605,334.0
2,Gaussian,3,True,8,20,True,False,True,False,False,2495,168,37,138,14,0.21142857142857144,0.7254901960784313,0.3274336283185841,124.0
2,Gaussian,3,True,8,20,True,False,True,False,True,1231,155,36,131,15,0.2155688622754491,0.7058823529411765,0.33027522935779813,116.0
2,Gaussian,3,True,8,20,True,False,True,True,False,1150,85,27,67,24,0.2872340425531915,0.5294117647058824,0.37241379310344835,43.0
2,Gaussian,3,True,8,20,True,False,True,True,True,948,141,30,121,21,0.1986754966887417,0.5882352941176471,0.297029702970297,100.0
2,Gaussian,3,True,8,20,True,True,False,False,False,8283,133,32,111,19,0.22377622377622378,0.6274509803921569,0.32989690721649484,92.0
2,Gaussian,3,True,8,20,True,True,False,False,True,4154,440,20,429,31,0.044543429844097995,0.39215686274509803,0.08,398.0
2,Gaussian,3,True,8,20,True,True,False,True,False,3968,214,11,205,40,0.05092592592592592,0.21568627450980393,0.08239700374531835,165.0
2,Gaussian,3,True,8,20,True,True,False,True,True,2861,373,9,365,42,0.02406417112299465,0.17647058823529413,0.04235294117647058,323.0
2,Gaussian,3,True,8,20,True,True,True,False,False,1835,137,36,113,15,0.24161073825503357,0.7058823529411765,0.36000000000000004,98.0
2,Gaussian,3,True,8,20,True,True,True,False,True,1055,142,26,128,25,0.16883116883116883,0.5098039215686274,0.25365853658536586,103.0
2,Gaussian,3,True,8,20,True,True,True,True,False,966,80,17,67,34,0.20238095238095238,0.3333333333333333,0.2518518518518518,33.0
2,Gaussian,3,True,8,20,True,True,True,True,True,813,137,15,125,36,0.10714285714285714,0.29411764705882354,0.15706806282722513,89.0
2,Gaussian,3,True,8,35,True,False,False,False,False,3597,99,39,64,12,0.3786407766990291,0.7647058823529411,0.5064935064935064,52.0
2,Gaussian,3,True,8,35,True,False,False,False,True,2151,145,38,113,13,0.25165562913907286,0.7450980392156863,0.3762376237623763,100.0
2,Gaussian,3,True,8,35,True,False,False,True,False,2166,75,37,50,14,0.42528735632183906,0.7254901960784313,0.5362318840579711,36.0
2,Gaussian,3,True,8,35,True,False,False,True,True,1864,163,41,134,10,0.2342857142857143,0.803921568627451,0.36283185840707965,124.0
2,Gaussian,3,True,8,35,True,False,True,False,False,694,104,39,69,12,0.3611111111111111,0.7647058823529411,0.490566037735849,57.0
2,Gaussian,3,True,8,35,True,False,True,False,True,342,100,42,66,9,0.3888888888888889,0.8235294117647058,0.5283018867924528,57.0
2,Gaussian,3,True,8,35,True,False,True,True,False,317,66,40,40,11,0.5,0.7843137254901961,0.6106870229007634,29.0
2,Gaussian,3,True,8,35,True,False,True,True,True,285,86,45,55,6,0.45,0.8823529411764706,0.5960264900662252,49.0
2,Gaussian,3,True,8,35,True,True,False,False,False,3331,98,42,64,9,0.39622641509433965,0.8235294117647058,0.535031847133758,55.0
