Image,Noise Reduction,Filter Size,CLAHE,Grid Size,Pct,static_foreground_removal,Dilation,Opening,Closing,Smoothing_after_morph,objects_before_post_processing,objects_after_post_processing,TP,FP,FN,Precision,Recall,F1,RMSE
3,Gaussian,3,True,8,20,True,False,False,False,False,5173,325,97,251,37,0.27873563218390807,0.7238805970149254,0.4024896265560166,214.0
3,Gaussian,3,True,8,20,True,False,False,False,True,2307,250,85,202,49,0.2961672473867596,0.6343283582089553,0.4038004750593825,153.0
3,Gaussian,3,True,8,20,True,False,False,True,False,2266,110,68,79,66,0.46258503401360546,0.5074626865671642,0.48398576512455516,13.0
3,Gaussian,3,True,8,20,True,False,False,True,True,1894,207,61,179,73,0.25416666666666665,0.4552238805970149,0.3262032085561497,106.0
3,Gaussian,3,True,8,20,True,False,True,False,False,2014,325,97,251,37,0.27873563218390807,0.7238805970149254,0.4024896265560166,214.0
3,Gaussian,3,True,8,20,True,False,True,False,True,613,191,85,143,49,0.37280701754385964,0.6343283582089553,0.46961325966850825,94.0
3,Gaussian,3,True,8,20,True,False,True,True,False,525,92,68,61,66,0.5271317829457365,0.5074626865671642,0.5171102661596958,5.0
3,Gaussian,3,True,8,20,True,False,True,True,True,420,117,61,89,73,0.4066666666666667,0.4552238805970149,0.42957746478873243,16.0
3,Gaussian,3,True,8,20,True,True,False,False,False,4030,190,81,140,53,0.3665158371040724,0.6044776119402985,0.4563380281690141,87.0
3,Gaussian,3,True,8,20,True,True,False,False,True,2081,150,40,128,94,0.23809523809523808,0.29850746268656714,0.2649006622516556,34.0
3,Gaussian,3,True,8,20,True,True,False,True,False,2078,74,30,59,104,0.33707865168539325,0.22388059701492538,0.26905829596412556,45.0
3,Gaussian,3,True,8,20,True,True,False,True,True,1760,148,25,137,109,0.15432098765432098,0.1865671641791045,0.16891891891891891,28.0
3,Gaussian,3,True,8,20,True,True,True,False,False,871,190,81,140,53,0.3665158371040724,0.6044776119402985,0.4563380281690141,87.0
3,Gaussian,3,True,8,20,True,True,True,False,True,387,90,40,68,94,0.37037037037037035,0.29850746268656714,0.33057851239669417,26.0
3,Gaussian,3,True,8,20,True,True,True,True,False,337,56,30,41,104,0.4225352112676056,0.22388059701492538,0.29268292682926833,63.0
3,Gaussian,3,True,8,20,True,True,True,True,True,286,58,25,47,109,0.3472222222222222,0.1865671641791045,0.24271844660194178,62.0
3,Gaussian,3,True,8,35,True,False,False,False,False,1309,224,89,147,45,0.3771186440677966,0.664179104477612,0.48108108108108116,102.0
3,Gaussian,3,True,8,35,True,False,False,False,True,620,192,103,120,31,0.4618834080717489,0.7686567164179104,0.5770308123249299,89.0
3,Gaussian,3,True,8,35,True,False,False,True,False,573,130,92,74,42,0.5542168674698795,0.6865671641791045,0.6133333333333333,32.0
3,Gaussian,3,True,8,35,True,False,False,True,True,511,156,101,90,33,0.5287958115183246,0.753731343283582,0.6215384615384615,57.0
3,Gaussian,3,True,8,35,True,False,True,False,False,892,224,89,147,45,0.3771186440677966,0.664179104477612,0.48108108108108116,102.0
3,Gaussian,3,True,8,35,True,False,True,False,True,443,191,103,119,31,0.46396396396396394,0.7686567164179104,0.5786516853932584,88.0
3,Gaussian,3,True,8,35,True,False,True,True,False,384,130,92,74,42,0.5542168674698795,0.6865671641791045,0.6133333333333333,32.0
3,Gaussian,3,True,8,35,True,False,True,True,True,340,154,101,88,33,0.5343915343915344,0.753731343283582,0.6253869969040247,55.0
3,Gaussian,3,True,8,35,True,True,False,False,False,923,194,104,120,30,0.4642857142857143,0.7761194029850746,0.5810055865921787,90.0
3,Gaussian,3,True,8,35,True,True,False,False,True,438,133,100,76,34,0.5681818181818182,0.746268656716418,0.6451612903225807,42.0
3,Gaussian,3,True,8,35,True,True,False,True,False,401,105,83,57,51,0.5928571428571429,0.6194029850746269,0.6058394160583941,6.0
3,Gaussian,3,True,8,35,True,True,False,True,True,366,108,71,59,63,0.5461538461538461,0.5298507462686567,0.5378787878787878,4.0
3,Gaussian,3,True,8,35,True,True,True,False,False,506,193,104,119,30,0.4663677130044843,0.7761194029850746,0.5826330532212886,89.0
3,Gaussian,3,True,8,35,True,True,True,False,True,261,132,100,75,34,0.5714285714285714,0.746268656716418,0.6472491909385112,41.0
3,Gaussian,3,True,8,35,True,True,True,True,False,212,104,83,56,51,0.5971223021582733,0.6194029850746269,0.6080586080586081,5.0
3,Gaussian,3,True,8,35,True,True,True,True,True,195,106,71,57,63,0.5546875,0.5298507462686567,0.5419847328244274,6.0
3,Gaussian,3,True,8,50,True,False,False,False,False,970,128,61,72,73,0.45864661654135336,0.4552238805970149,0.45692883895131087,1.0
3,Gaussian,3,True,8,50,True,False,False,False,True,486,158,90,85,44,0.5142857142857142,0.6716417910447762,0.5825242718446603,41.0
3,Gaussian,3,True,8,50,True,False,False,True,False,449,116,82,54,52,0.6029411764705882,0.6119402985074627,0.6074074074074075,2.0
3,Gaussian,3,True,8,50,True,False,False,True,True,387,140,91,76,43,0.5449101796407185,0.6791044776119403,0.6046511627906976,33.0
3,Gaussian,3,True,8,50,True,False,True,False,False,722,128,61,72,73,0.45864661654135336,0.4552238805970149,0.45692883895131087,1.0
3,Gaussian,3,True,8,50,True,False,True,False,True,413,157,90,84,44,0.5172413793103449,0.6716417910447762,0.5844155844155844,40.0
3,Gaussian,3,True,8,50,True,False,True,True,False,382,116,82,54,52,0.6029411764705882,0.6119402985074627,0.6074074074074075,2.0
3,Gaussian,3,True,8,50,True,False,True,True,True,333,139,91,75,43,0.5481927710843374,0.6791044776119403,0.6066666666666667,32.0
3,Gaussian,3,True,8,50,True,True,False,False,False,706,151,86,80,48,0.5180722891566265,0.6417910447761194,0.5733333333333333,32.0
3,Gaussian,3,True,8,50,True,True,False,False,True,354,145,102,74,32,0.5795454545454546,0.7611940298507462,0.6580645161290323,42.0
3,Gaussian,3,True,8,50,True,True,False,True,False,299,106,88,54,46,0.6197183098591549,0.6567164179104478,0.6376811594202898,8.0
3,Gaussian,3,True,8,50,True,True,False,True,True,267,120,99,62,35,0.6149068322981367,0.7388059701492538,0.6711864406779661,27.0
3,Gaussian,3,True,8,50,True,True,True,False,False,458,151,86,80,48,0.5180722891566265,0.6417910447761194,0.5733333333333333,32.0
3,Gaussian,3,True,8,50,True,True,True,False,True,281,144,102,73,32,0.5828571428571429,0.7611940298507462,0.6601941747572815,41.0
3,Gaussian,3,True,8,50,True,True,True,True,False,232,106,88,54,46,0.6197183098591549,0.6567164179104478,0.6376811594202898,8.0
3,Gaussian,3,True,8,50,True,True,True,True,True,213,119,99,61,35,0.61875,0.7388059701492538,0.673469387755102,26.0
3,Gaussian,3,False,8,20,True,False,False,False,False,1464,257,91,179,43,0.337037037037037,0.6791044776119403,0.45049504950495045,136.0
3,Gaussian,3,False,8,20,True,False,False,False,True,602,205,109,130,25,0.4560669456066946,0.8134328358208955,0.5844504021447722,105.0
3,Gaussian,3,False,8,20,True,False,False,True,False,569,138,86,84,48,0.5058823529411764,0.6417910447761194,0.5657894736842106,36.0
3,Gaussian,3,False,8,20,True,False,False,True,True,483,152,101,92,33,0.5233160621761658,0.753731343283582,0.617737003058104,59.0
3,Gaussian,3,False,8,20,True,False,True,False,False,1165,256,91,178,43,0.3382899628252788,0.6791044776119403,0.45161290322580644,135.0
3,Gaussian,3,False,8,20,True,False,True,False,True,434,203,109,128,25,0.459915611814346,0.8134328358208955,0.5876010781671159,103.0
